91,팔봉산,강원도 홍천군 서면,37.70262222,127.7538444
92,팔영산,전라남도 고흥군 영남면,34.61804722,127.4340111
93,한라산,제주도 서귀포시 영남동,33.36149167,126.5291222
94,화악산,경기도 가평군 북면,37.99486667,127.5030639
95,화왕산,경상남도 창녕군 창녕읍,35.53706111,128.5604944
96,황매산,경상남도 산청군 차황면,35.49572778,127.9743833
97,황석산,경상남도 함양군 안의면,35.65669722,127.757375
98,황악산,충청북도 영동군 매곡면,36.11906389,127.9660583
99,황장산,경상북도 문경시 동로면,36.81291667,128.2760306
100,희양산,충청북도 괴산군 연풍면,36.71583611,128.0026389
